year,country,origin,refugees,events
1951,Belgium,Various/Unknown,55000,
1952,Belgium,Various/Unknown,53500,
1953,Belgium,Various/Unknown,53000,
1954,Belgium,Various/Unknown,53000,
1955,Belgium,Various/Unknown,53000,
1956,Belgium,Various/Unknown,65000,
1957,Belgium,Various/Unknown,69000,
1958,Belgium,Various/Unknown,63000,
1959,Belgium,Various/Unknown,58000,
1960,Belgium,Various/Unknown,55000,
1961,Belgium,Various/Unknown,53000,
1962,Belgium,Various/Unknown,51000,
1963,Belgium,Various/Unknown,50000,
1964,Belgium,Various/Unknown,47000,
1965,Belgium,Various/Unknown,47000,
1966,Belgium,Various/Unknown,40000,
1967,Belgium,Various/Unknown,34000,
1968,Belgium,Various/Unknown,33000,
1969,Belgium,Various/Unknown,30000,
1970,Belgium,Various/Unknown,31500,
1971,Belgium,Various/Unknown,29000,
1972,Belgium,Various/Unknown,29000,
1973,Belgium,Various/Unknown,20000,
1974,Belgium,Various/Unknown,11100,
1975,Belgium,Various/Unknown,16788,
1976,Belgium,Various/Unknown,17000,
1977,Belgium,Various/Unknown,17000,
1978,Belgium,Various/Unknown,17000,
1979,Belgium,Various/Unknown,32000,
1980,Belgium,Various/Unknown,33000,
1981,Belgium,Various/Unknown,35000,
1982,Belgium,Various/Unknown,21000,
1983,Belgium,Various/Unknown,35000,
1984,Belgium,Various/Unknown,36400,
1985,Belgium,Various/Unknown,36600,
1986,Belgium,Various/Unknown,35900,
1987,Belgium,Various/Unknown,22000,
1988,Belgium,Various/Unknown,23117,
1989,Belgium,Various/Unknown,25531,
1990,Belgium,Various/Unknown,25911,
1991,Belgium,Various/Unknown,24071,
1992,Belgium,Various/Unknown,24292,
1993,Belgium,Various/Unknown,24908,
1994,Belgium,Chile,,
1994,Belgium,Colombia,,
1994,Belgium,Iran,,
1994,Belgium,Syrian Arab Rep.,,
1994,Belgium,Various/Unknown,19497,
1995,Belgium,Chile,,
1995,Belgium,Haiti,,
1995,Belgium,Iran,,
1995,Belgium,Rwanda,,
1995,Belgium,Various/Unknown,31691,
1996,Belgium,Afghanistan,224,
1996,Belgium,Angola,449,
1996,Belgium,Albania,691,
1996,Belgium,Armenia,115,
1996,Belgium,Burundi,472,
1996,Belgium,Bulgaria,153,
1996,Belgium,Bosnia and Herzegovina,,
1996,Belgium,Chile,964,
1996,Belgium,Dem. Rep. of the Congo,2236,Civil war (1994-now)
1996,Belgium,Spain,159,
1996,Belgium,Ethiopia,102,
1996,Belgium,Ghana,112,
1996,Belgium,Hungary,1264,
1996,Belgium,Iran,1645,
1996,Belgium,Iraq,250,
1996,Belgium,Cambodia,592,
1996,Belgium,Laos,534,
1996,Belgium,Lebanon,177,
1996,Belgium,Lithuania,202,
1996,Belgium,Latvia,98,
1996,Belgium,Pakistan,116,
1996,Belgium,Poland,4466,Polish referendums (1996)
1996,Belgium,Portugal,192,
1996,Belgium,Romania,672,
1996,Belgium,Russian Federation,1013,First Tsjetsjeense war (1994-1996)
1996,Belgium,Rwanda,1041,
1996,Belgium,Somalia,151,
1996,Belgium,Serbia and Kosovo,1815,
1996,Belgium,Syrian Arab Rep.,238,
1996,Belgium,Turkey,4907,
1996,Belgium,Ukraine,898,
1996,Belgium,Viet Nam,3090,Typhoon Sally (1996) + election communist party
1996,Belgium,Various/Unknown,7022,
1997,Belgium,Afghanistan,224,
1997,Belgium,Angola,449,
1997,Belgium,Albania,691,
1997,Belgium,Armenia,115,
1997,Belgium,Burundi,472,
1997,Belgium,Bulgaria,153,
1997,Belgium,Chile,964,
1997,Belgium,Dem. Rep. of the Congo,2236,Civil war (1994-now)
1997,Belgium,Spain,159,
1997,Belgium,Ethiopia,102,
1997,Belgium,Ghana,112,
1997,Belgium,Hungary,1264,
1997,Belgium,Iran,1645,
1997,Belgium,Iraq,250,
1997,Belgium,Cambodia,592,
1997,Belgium,Laos,534,
1997,Belgium,Lebanon,177,
1997,Belgium,Lithuania,202,
1997,Belgium,Latvia,98,
1997,Belgium,Pakistan,116,
1997,Belgium,Poland,4466,
1997,Belgium,Portugal,192,
1997,Belgium,Romania,672,
1997,Belgium,Russian Federation,1013,
1997,Belgium,Rwanda,1041,
1997,Belgium,Somalia,151,
1997,Belgium,Serbia and Kosovo,1815,
1997,Belgium,Syrian Arab Rep.,238,
1997,Belgium,Turkey,4907,
1997,Belgium,Ukraine,898,
1997,Belgium,Viet Nam,3090,
1997,Belgium,Various/Unknown,7022,
1998,Belgium,Afghanistan,182,
1998,Belgium,Angola,295,
1998,Belgium,Albania,97,
1998,Belgium,Armenia,34,
1998,Belgium,Azerbaijan,8,
1998,Belgium,Burundi,719,
1998,Belgium,Benin,1,
1998,Belgium,Burkina Faso,7,
1998,Belgium,Bangladesh,6,
1998,Belgium,Bulgaria,24,
1998,Belgium,Bosnia and Herzegovina,444,
1998,Belgium,Belarus,5,
1998,Belgium,Bolivia,10,
1998,Belgium,Brazil,2,
1998,Belgium,Bhutan,4,
1998,Belgium,Central African Rep.,2,
1998,Belgium,Chile,162,
1998,Belgium,China,85,
1998,Belgium,Ivory Coast,28,
1998,Belgium,Cameroon,48,
1998,Belgium,Dem. Rep. of the Congo,1757,Civil war (1994-now)
1998,Belgium,Congo,21,Civil war (1994-now)
1998,Belgium,Colombia,71,
1998,Belgium,Cuba,31,
1998,Belgium,Czech Rep.,6,
1998,Belgium,Djibouti,3,
1998,Belgium,Algeria,143,Civil War
1998,Belgium,Ecuador,5,
1998,Belgium,Egypt,7,
1998,Belgium,Ethiopia,93,
1998,Belgium,Gabon,2,
1998,Belgium,Georgia,21,
1998,Belgium,Ghana,69,
1998,Belgium,Guinea,35,
1998,Belgium,Guatemala,2,
1998,Belgium,Guyana,1,
1998,Belgium,Croatia,69,
1998,Belgium,Haiti,21,
1998,Belgium,Hungary,3,
1998,Belgium,India,49,
1998,Belgium,Iran,420,
1998,Belgium,Iraq,192,
1998,Belgium,Israel,10,
1998,Belgium,Jordan,18,
1998,Belgium,Kenya,5,
1998,Belgium,Cambodia,33,
1998,Belgium,Laos,20,
1998,Belgium,Lebanon,124,
1998,Belgium,Liberia,39,
1998,Belgium,Libya,1,
1998,Belgium,Sri Lanka,22,
1998,Belgium,Lithuania,1,
1998,Belgium,Morocco,21,
1998,Belgium,Rep. of Moldova,4,
1998,Belgium,Mexico,1,
1998,Belgium,Macedonia,61,
1998,Belgium,Mali,3,
1998,Belgium,Myanmar,5,
1998,Belgium,Mozambique,1,
1998,Belgium,Mauritania,71,
1998,Belgium,Niger,1,
1998,Belgium,Nigeria,6,
1998,Belgium,Nicaragua,3,
1998,Belgium,Nepal,2,
1998,Belgium,Oman,1,
1998,Belgium,Pakistan,135,
1998,Belgium,Peru,65,
1998,Belgium,Poland,21,
1998,Belgium,Palestinian,5,
1998,Belgium,Romania,371,
1998,Belgium,Russian Federation,41,
1998,Belgium,Rwanda,1603,start Second Congo War
1998,Belgium,Sudan,21,
1998,Belgium,Senegal,8,
1998,Belgium,Sierra Leone,8,
1998,Belgium,El Salvador,4,
1998,Belgium,Somalia,210,
1998,Belgium,Serbia and Kosovo,811,Kosovo-war (1998-199)
1998,Belgium,Slovakia,3,
1998,Belgium,Slovenia,1,
1998,Belgium,Syrian Arab Rep.,105,
1998,Belgium,Chad,15,
1998,Belgium,Togo,101,
1998,Belgium,Tunisia,11,
1998,Belgium,Turkey,1744,
1998,Belgium,Uganda,11,
1998,Belgium,Ukraine,23,
1998,Belgium,Viet Nam,412,
1998,Belgium,Stateless,10,
1998,Belgium,Various/Unknown,4131,
1998,Belgium,South Africa,2,
1999,Belgium,Afghanistan,232,
1999,Belgium,Angola,325,
1999,Belgium,Albania,114,
1999,Belgium,Armenia,51,
1999,Belgium,Azerbaijan,9,
1999,Belgium,Burundi,842,
1999,Belgium,Benin,1,
1999,Belgium,Burkina Faso,7,
1999,Belgium,Bangladesh,7,
1999,Belgium,Bulgaria,21,
1999,Belgium,Bosnia and Herzegovina,458,
1999,Belgium,Belarus,8,
1999,Belgium,Bolivia,9,
1999,Belgium,Brazil,2,
1999,Belgium,Bhutan,4,
1999,Belgium,Central African Rep.,2,
1999,Belgium,Chile,122,
1999,Belgium,China,84,
1999,Belgium,Ivory Coast,28,
1999,Belgium,Cameroon,49,
1999,Belgium,Dem. Rep. of the Congo,1932,Civil war (1994-now)
1999,Belgium,Congo,28,Civil war (1994-now)
1999,Belgium,Colombia,77,
1999,Belgium,Cuba,38,
1999,Belgium,Czech Rep.,4,
1999,Belgium,Djibouti,6,
1999,Belgium,Algeria,183,Civil War (1991-2002)
1999,Belgium,Ecuador,5,
1999,Belgium,Egypt,5,
1999,Belgium,Ethiopia,98,
1999,Belgium,Gabon,2,
1999,Belgium,Georgia,29,
1999,Belgium,Ghana,64,
1999,Belgium,Guinea,47,
1999,Belgium,Guinea-Bissau,1,
1999,Belgium,Guatemala,2,
1999,Belgium,Guyana,1,
1999,Belgium,Croatia,71,
1999,Belgium,Haiti,20,
1999,Belgium,Hungary,3,
1999,Belgium,India,52,
1999,Belgium,Iran,352,
1999,Belgium,Iraq,243,
1999,Belgium,Israel,16,
1999,Belgium,Jordan,17,
1999,Belgium,Kenya,5,
1999,Belgium,Cambodia,28,
1999,Belgium,Laos,17
1999,Belgium,Lebanon,118,
1999,Belgium,Liberia,52,
1999,Belgium,Sri Lanka,30,
1999,Belgium,Lithuania,1,
1999,Belgium,Morocco,21,
1999,Belgium,Rep. of Moldova,4,
1999,Belgium,Mexico,1,
1999,Belgium,Macedonia,64,
1999,Belgium,Mali,3,
1999,Belgium,Myanmar,5,
1999,Belgium,Mozambique,1,
1999,Belgium,Mauritania,73,
1999,Belgium,Niger,2,
1999,Belgium,Nigeria,6,
1999,Belgium,Nicaragua,3,
1999,Belgium,Nepal,2,
1999,Belgium,Oman,1,
1999,Belgium,Pakistan,196,
1999,Belgium,Peru,71,
1999,Belgium,Poland,15,
1999,Belgium,Palestinian,5,
1999,Belgium,Romania,338,
1999,Belgium,Russian Federation,39,Second Tsjetseense war (1999—2010)
1999,Belgium,Rwanda,2108,Second Congo War
1999,Belgium,Sudan,22,
1999,Belgium,Senegal,8,
1999,Belgium,Sierra Leone,11,
1999,Belgium,Somalia,238,
1999,Belgium,Serbia and Kosovo,849,Kosovo-war (1998-1999)
1999,Belgium,Slovakia,3,
1999,Belgium,Slovenia,1,
1999,Belgium,Syrian Arab Rep.,103,
